# Time-averaged data for fix rdf3_out
# TimeStep Number-of-rows
# Row c_rdf3[1] c_rdf3[2] c_rdf3[3]
370000 100
12 0.92 0 0
13 1 0 0
14 1.08 0 0
15 1.16 0 0
16 1.24 0 0
17 1.32 0 0
18 1.4 0 0
19 1.48 0 0
20 1.56 0 0
21 1.64 0 0
22 1.72 0 0
23 1.8 0 0
24 1.88 0 0
25 1.96 0 0
26 2.04 0 0
27 2.12 0.00950405 0.00209259
28 2.2 0.0673237 0.0180556
29 2.28 0.187248 0.0657407
30 2.36 0.401393 0.175259
31 2.44 0.764409 0.398204
32 2.52 1.36722 0.823537
33 2.6 1.94414 1.46735
34 2.68 2.10571 2.20824
35 2.76 2.13772 3.00596
36 2.84 2.05072 3.81622
37 2.92 1.87308 4.59857
38 3 1.67745 5.33813
39 3.08 1.50824 6.03902
40 3.16 1.37064 6.70948
41 3.24 1.23811 7.34617
42 3.32 1.13304 7.95794
43 3.4 1.03904 8.54633
